usembthehague,usembthehague,US Embassy The Hague,twitter.com/usembthehague,The Hague,Netherlands,eur,embassy
ConGenAMS,ConGenAMS,US Consulate General Amsterdam,twitter.com/ConGenAMS,Amsterdam,Netherlands,eur,consulate
usembassynz,usembassynz,US Embassy Wellington,twitter.com/usembassynz,Wellington,New Zealand,eap,embassy
DavidHuebner,DavidHuebner,David Huebner,twitter.com/DavidHuebner,Wellington,New Zealand,eap,personal
educationusanz,educationusanz,Education USA NZ,twitter.com/educationusanz,Wellington,New Zealand,eap,embassy
nextgenUSANZ,nextgenUSANZ,Youth Engagement,twitter.com/nextgenUSANZ,Wellington,New Zealand,eap,embassy
sportsUSANZ,sportsUSANZ,Sports Diplomacy ,twitter.com/sportsUSANZ,Wellington,New Zealand,eap,embassy
USEmbNicaragua,USEmbNicaragua,USEmbassy Nicaragua ,twitter.com/USEmbNicaragua,Managua,Nicaragua,wha,embassy
EmbPowers,EmbPowers,Phyllis M. Powers,twitter.com/EmbPowers,Managua,Nicaragua,wha,mission
USAIDnicaragua,USAIDNic,USAID Nicaragua,twitter.com/USAIDnicaragua,Managua,Nicaragua,wha,usaid-mission
USEmbassyAbuja,USEmbassyAbuja,US Embassy Abuja,twitter.com/USEmbassyAbuja,Abuja,Nigeria,af,embassy
usembassyoslo,usembassyoslo,US Embassy Oslo,twitter.com/usembassyoslo,Oslo,Norway,eur,embassy
USEmbMuscat,USEmbMuscat,U.S. Embassy Muscat,twitter.com/USEmbMuscat,Muscat,Oman,nea,embassy
USCGLahore,USCGLahore,US Consulate Lahore,twitter.com/USCGLahore,Lahore,Pakistan,sca,consulate
usembislamabad,usembislamabad,US Embassy Islamabad,twitter.com/usembislamabad,Islamabad,Pakistan,sca,embassy
usconsulatekhi,usconsulatekhi,US Consulate Karachi,twitter.com/usconsulatekhi,Karachi,Pakistan,sca,consulate
USAID_Pakistan,USAID_Pakistan,USAID Pakistan,twitter.com/USAID_Pakistan,Islamabad,Pakistan,sca,usaid-mission
USAIDWBG,USAIDWBG,USAID West Bank/Gaza,twitter.com/USAIDWBG,Gaza,Palestinian Territories,nea,usaid-mission
